Place Name,Municipality,Incorporation Date,Government,County,Map,Pop Rank,2014 Estimate,2010 Census,Change,Pop Density,Land Area,Water Area,Total Area,INCITS,WGS84
Blue River[11],Town of Blue River,1964,statutory town,Summit County,map,155,882,849,+3.89%,345 mi−2 133 km−2,2.5149 mi−2 6.5136 km−2,0.0996 mi−2 0.2579 km−2,2.6145 mi−2 6.7715 km−2,0807410,39°26′55″N 106°02′12″W﻿ / ﻿39.448494°N 106.036774°W
Bonanza[12],Town of Bonanza,"January 13, 1881[13]",statutory town,Saguache County,map,270,16,16,0.00%,37 mi−2 14 km−2,0.4365 mi−2 1.1306 km−2,none,0.4365 mi−2 1.1306 km−2,0807571,38°17′48″N 106°08′31″W﻿ / ﻿38.296607°N 106.141873°W
Boone,Town of Boone,"September 22, 1956",statutory town,Pueblo County,map,213,342,339,+0.88%,932 mi−2 360 km−2,0.3616 mi−2 0.9365 km−2,0.0098 mi−2 0.0253 km−2,0.3713 mi−2 0.9618 km−2,0807795,38°15′02″N 104°15′39″W﻿ / ﻿38.250445°N 104.260792°W
Boulder,City of Boulder,"November 4, 1871[14]",home rule municipality,Boulder County[8],map,11,"105,112","97,385",+7.93%,4152 mi−2 1603 km−2,24.8478 mi−2 64.3556 km−2,1.0187 mi−2 2.6384 km−2,25.8665 mi−2 66.9940 km−2,0807850,40°01′39″N 105°15′07″W﻿ / ﻿40.027435°N 105.251945°W
Bow Mar,Town of Bow Mar,August 1958,statutory town,Arapahoe CountyJefferson County,map,151,921,866,+6.35%,1322 mi−2 510 km−2,0.6846 mi−2 1.7732 km−2,0.1511 mi−2 0.3913 km−2,0.8357 mi−2 2.1645 km−2,0808070,39°37′36″N 105°03′03″W﻿ / ﻿39.626594°N 105.050914°W
Branson,Town of Branson,"March 26, 1921",statutory town,Las Animas County,map,262,67,74,−9.46%,282 mi−2 109 km−2,0.2448 mi−2 0.6340 km−2,none,0.2448 mi−2 0.6340 km−2,0808345,37°00′56″N 103°53′02″W﻿ / ﻿37.015493°N 103.883777°W
Breckenridge,Town of Breckenridge,"March 3, 1880",home rule municipality,Summit County[8],map,79,"4,749","4,540",+4.60%,775 mi−2 299 km−2,5.9946 mi−2 15.5259 km−2,none,5.9946 mi−2 15.5259 km−2,0808400,39°29′59″N 106°02′36″W﻿ / ﻿39.499619°N 106.043292°W
Brighton,City of Brighton,"September 1, 1887",home rule municipality,Adams County[8]Weld County,map,22,"36,765","33,352",+10.23%,1720 mi−2 664 km−2,20.7614 mi−2 53.7719 km−2,0.3013 mi−2 0.7803 km−2,21.0627 mi−2 54.5522 km−2,0808675,39°57′53″N 104°47′48″W﻿ / ﻿39.964790°N 104.796581°W
Brookside[15],Town of Brookside,1913,statutory town,Fremont County,map,231,243,233,+4.29%,512 mi−2 198 km−2,0.4649 mi−2 1.2041 km−2,none,0.4649 mi−2 1.2041 km−2,0809115,38°24′49″N 105°11′28″W﻿ / ﻿38.413543°N 105.191060°W
Broomfield,City and County of Broomfield,"June 6, 1961[16]",consolidated city and county,City and County of Broomfield[17],map,15,"62,138","55,889",+11.18%,1802 mi−2 696 km−2,33.0031 mi−2 85.4775 km−2,0.5455 mi−2 1.4127 km−2,33.5485 mi−2 86.8903 km−2,0809280,39°57′12″N 105°03′07″W﻿ / ﻿39.953302°N 105.052038°W
Brush,City of Brush,"November 24, 1884",statutory city,Morgan County,map,71,"5,466","5,463",+0.05%,2159 mi−2 834 km−2,2.5474 mi−2 6.5978 km−2,none,2.5474 mi−2 6.5978 km−2,0809555,40°15′29″N 103°37′56″W﻿ / ﻿40.258136°N 103.632160°W
Buena Vista,Town of Buena Vista,"November 8, 1879",statutory town,Chaffee County,map,96,"2,734","2,617",+4.47%,792 mi−2 306 km−2,3.4544 mi−2 8.9469 km−2,0.0008 mi−2 0.0022 km−2,3.4553 mi−2 8.9491 km−2,0810105,38°49′46″N 106°08′22″W﻿ / ﻿38.829332°N 106.139515°W
Burlington,City of Burlington,"January 12, 1888",home rule municipality,Kit Carson County[8],map,85,"4,014","4,254",−5.64%,1917 mi−2 740 km−2,2.0878 mi−2 5.4073 km−2,none,2.0878 mi−2 5.4073 km−2,0810600,39°18′16″N 102°16′17″W﻿ / ﻿39.304491°N 102.271463°W
Calhan,Town of Calhan,"May 10, 1919",statutory town,El Paso County,map,162,797,780,+2.18%,912 mi−2 352 km−2,0.8710 mi−2 2.2559 km−2,none,0.8710 mi−2 2.2559 km−2,0811260,39°02′04″N 104°17′57″W﻿ / ﻿39.034438°N 104.299139°W
Campo,Town of Campo,"March 6, 1950",statutory town,Baca County,map,256,105,109,−3.67%,742 mi−2 286 km−2,0.1443 mi−2 0.3737 km−2,none,0.1443 mi−2 0.3737 km−2,0811645,37°06′17″N 102°34′44″W﻿ / ﻿37.104711°N 102.578798°W
Cañon City,City of Cañon City,"April 3, 1872",home rule municipality,Fremont County[8],map,34,"16,337","16,400",−0.38%,1304 mi−2 504 km−2,12.5117 mi−2 32.4051 km−2,0.0122 mi−2 0.0315 km−2,12.5238 mi−2 32.4366 km−2,0811810,38°26′31″N 105°13′15″W﻿ / ﻿38.441889°N 105.220891°W
Carbondale,Town of Carbondale,"April 26, 1888",home rule municipality,Garfield County,map,61,"6,574","6,427",+2.29%,3205 mi−2 1238 km−2,2.0443 mi−2 5.2947 km−2,none,2.0443 mi−2 5.2947 km−2,0812045,39°23′41″N 107°12′52″W﻿ / ﻿39.394616°N 107.214475°W
Castle Pines,City of Castle Pines,"November 6, 2007[18]",statutory city,Douglas County,map,46,"10,796",NA,NA,1121 mi−2 433 km−2,9.5674 mi−2 24.7793 km−2,none,9.5674 mi−2 24.7793 km−2,0812387,39°27′45″N 104°52′14″W﻿ / ﻿39.462512°N 104.870620°W
Castle Rock,Town of Castle Rock,"May 17, 1881",home rule municipality,Douglas County[8],map,17,"55,747","48,231",+15.58%,1567 mi−2 605 km−2,33.8639 mi−2 87.7070 km−2,none,33.8639 mi−2 87.7070 km−2,0812415,39°22′34″N 104°51′13″W﻿ / ﻿39.376089°N 104.853487°W
Cedaredge,Town of Cedaredge,"May 2, 1907",home rule municipality,Delta County,map,111,"2,187","2,253",−2.93%,1136 mi−2 438 km−2,1.9556 mi−2 5.0650 km−2,none,1.9556 mi−2 5.0650 km−2,0812635,38°53′39″N 107°55′32″W﻿ / ﻿38.894137°N 107.925498°W
Centennial,City of Centennial,"February 7, 2001",home rule municipality,Arapahoe County,map,10,"107,201","100,377",+6.80%,3672 mi−2 1418 km−2,28.9014 mi−2 74.8543 km−2,0.1472 mi−2 0.3813 km−2,29.0486 mi−2 75.2356 km−2,0812815,39°35′26″N 104°52′09″W﻿ / ﻿39.590568°N 104.869118°W
Center,Town of Center,"January 18, 1907",statutory town,Rio Grande CountySaguache County,map,109,"2,199","2,230",−1.39%,2694 mi−2 1040 km−2,0.8260 mi−2 2.1392 km−2,none,0.8260 mi−2 2.1392 km−2,0812855,37°45′05″N 106°06′37″W﻿ / ﻿37.751351°N 106.110195°W
Central City,City of Central,"June 12, 1886",home rule municipality,Gilpin County[8]Clear Creek County,map,170,724,663,+9.20%,280 mi−2 108 km−2,2.4493 mi−2 6.3438 km−2,0.0000 mi−2 0.0000 km−2,2.4494 mi−2 6.3438 km−2,0812910,39°47′45″N 105°30′53″W﻿ / ﻿39.795790°N 105.514835°W
Cheraw,Town of Cheraw,"April 17, 1917",statutory town,Otero County,map,230,249,252,−1.19%,1567 mi−2 605 km−2,0.1583 mi−2 0.4100 km−2,none,0.1583 mi−2 0.4100 km−2,0813460,38°06′29″N 103°30′39″W﻿ / ﻿38.108104°N 103.510926°W
Cherry Hills Village,City of Cherry Hills Village,"July 19, 1945",home rule municipality,Arapahoe County,map,64,"6,423","5,987",+7.28%,1018 mi−2 393 km−2,6.2038 mi−2 16.0678 km−2,0.0715 mi−2 0.1853 km−2,6.2753 mi−2 16.2531 km−2,0813845,39°38′15″N 104°56′51″W﻿ / ﻿39.637418°N 104.947470°W
Cheyenne Wells,Town of Cheyenne Wells,"May 14, 1890",statutory town,Cheyenne County[8],map,159,860,846,+1.65%,814 mi−2 314 km−2,1.0696 mi−2 2.7702 km−2,none,1.0696 mi−2 2.7702 km−2,0814175,38°49′09″N 102°21′07″W﻿ / ﻿38.819202°N 102.352030°W
Coal Creek,Town of Coal Creek,"February 11, 1882",statutory town,Fremont County,map,214,339,343,−1.17%,266 mi−2 103 km−2,1.2719 mi−2 3.2942 km−2,none,1.2719 mi−2 3.2942 km−2,0815330,38°21′43″N 105°08′30″W﻿ / ﻿38.362038°N 105.141782°W
Cokedale,Town of Cokedale,"March 15, 1948",statutory town,Las Animas County,map,251,119,129,−7.75%,581 mi−2 224 km−2,0.2049 mi−2 0.5308 km−2,none,0.2049 mi−2 0.5308 km−2,0815550,37°08′39″N 104°37′18″W﻿ / ﻿37.144223°N 104.621590°W
Collbran,Town of Collbran,"July 22, 1908",statutory town,Mesa County,map,172,706,708,−0.28%,1184 mi−2 457 km−2,0.5912 mi−2 1.5312 km−2,none,0.5912 mi−2 1.5312 km−2,0815605,39°14′24″N 107°57′50″W﻿ / ﻿39.240016°N 107.963956°W
Colorado Springs,City of Colorado Springs,"June 19, 1886",home rule municipality,El Paso County[8],map,2,"445,830","416,427",+7.06%,2257 mi−2 872 km−2,194.8701 mi−2 504.7114 km−2,0.3657 mi−2 0.9472 km−2,195.2359 mi−2 505.6585 km−2,0816000,38°52′02″N 104°45′39″W﻿ / ﻿38.867255°N 104.760749°W
Columbine Valley[19],Town of Columbine Valley,"July 2, 1959",statutory town,Arapahoe County,map,133,"1,328","1,256",+5.73%,1287 mi−2 497 km−2,1.0245 mi−2 2.6534 km−2,0.0144 mi−2 0.0372 km−2,1.0388 mi−2 2.6906 km−2,0816385,39°35′58″N 105°01′51″W﻿ / ﻿39.599580°N 105.030771°W
Commerce City,City of Commerce City,"December 18, 1952[20]",home rule municipality,Adams County,map,18,"51,762","45,913",+12.74%,1426 mi−2 551 km−2,34.9113 mi−2 90.4199 km−2,0.4119 mi−2 1.0669 km−2,35.3233 mi−2 91.4868 km−2,0816495,39°52′59″N 104°47′44″W﻿ / ﻿39.882968°N 104.795452°W
Cortez,City of Cortez,"November 10, 1902",home rule municipality,Montezuma County[8],map,52,"8,602","8,482",+1.41%,1379 mi−2 532 km−2,6.2130 mi−2 16.0916 km−2,0.0272 mi−2 0.0704 km−2,6.2402 mi−2 16.1620 km−2,0817375,37°20′59″N 108°34′36″W﻿ / ﻿37.349783°N 108.576687°W
Craig,City of Craig,"July 15, 1908",home rule municipality,Moffat County[8],map,50,"8,846","9,464",−6.53%,1749 mi−2 675 km−2,5.1354 mi−2 13.3007 km−2,none,5.1354 mi−2 13.3007 km−2,0817760,40°31′01″N 107°33′20″W﻿ / ﻿40.517034°N 107.555674°W
Crawford,Town of Crawford,"December 19, 1910",statutory town,Delta County,map,205,411,431,−4.64%,1736 mi−2 670 km−2,0.2431 mi−2 0.6296 km−2,none,0.2431 mi−2 0.6296 km−2,0817925,38°42′19″N 107°36′36″W﻿ / ﻿38.705183°N 107.610061°W
Creede,City of Creede[21],"May 19, 1892",statutory town,Mineral County[8],map,219,282,290,−2.76%,319 mi−2 123 km−2,0.9161 mi−2 2.3727 km−2,none,0.9161 mi−2 2.3727 km−2,0814765,37°50′57″N 106°55′31″W﻿ / ﻿37.849102°N 106.925415°W
Crested Butte,Town of Crested Butte,"July 15, 1880",home rule municipality,Gunnison County,map,125,"1,541","1,487",+3.63%,1805 mi−2 697 km−2,0.8417 mi−2 2.1800 km−2,none,0.8417 mi−2 2.1800 km−2,0818310,38°52′04″N 106°58′38″W﻿ / ﻿38.867736°N 106.977266°W
Crestone,Town of Crestone,"January 24, 1902",statutory town,Saguache County,map,246,137,127,+7.87%,350 mi−2 135 km−2,0.3772 mi−2 0.9771 km−2,none,0.3772 mi−2 0.9771 km−2,0818420,37°59′40″N 105°41′47″W﻿ / ﻿37.994497°N 105.696273°W
Cripple Creek,City of Cripple Creek,"June 9, 1892",statutory city,Teller County[8],map,136,"1,172","1,189",−1.43%,763 mi−2 294 km−2,1.5328 mi−2 3.9699 km−2,none,1.5328 mi−2 3.9699 km−2,0818530,38°44′46″N 105°11′03″W﻿ / ﻿38.746149°N 105.184042°W
Crook,Town of Crook,"September 23, 1918",statutory town,Logan County,map,254,109,110,−0.91%,815 mi−2 315 km−2,0.1338 mi−2 0.3464 km−2,none,0.1338 mi−2 0.3464 km−2,0818640,40°51′32″N 102°48′05″W﻿ / ﻿40.858752°N 102.801392°W
Crowley,Town of Crowley,"October 10, 1921",statutory town,Crowley County,map,238,175,176,−0.57%,754 mi−2 291 km−2,0.2255 mi−2 0.5840 km−2,none,0.2255 mi−2 0.5840 km−2,0818750,38°11′37″N 103°51′35″W﻿ / ﻿38.193506°N 103.859744°W
Dacono,City of Dacono,"September 23, 1908",home rule municipality,Weld County,map,81,"4,544","4,152",+9.44%,539 mi−2 208 km−2,8.1208 mi−2 21.0328 km−2,0.0091 mi−2 0.0235 km−2,8.1299 mi−2 21.0563 km−2,0819080,40°03′49″N 104°56′48″W﻿ / ﻿40.063521°N 104.946804°W
De Beque,Town of De Beque,"January 18, 1890",statutory town,Mesa County,map,195,496,504,−1.59%,115 mi−2 45 km−2,4.3012 mi−2 11.1401 km−2,0.0256 mi−2 0.0664 km−2,4.3269 mi−2 11.2065 km−2,0819355,39°16′33″N 108°11′36″W﻿ / ﻿39.275733°N 108.193405°W
Deer Trail,Town of Deer Trail,"February 3, 1920",statutory town,Arapahoe County,map,187,576,546,+5.49%,525 mi−2 203 km−2,1.0714 mi−2 2.7748 km−2,0.0043 mi−2 0.0111 km−2,1.0757 mi−2 2.7859 km−2,0819630,39°36′57″N 104°02′35″W﻿ / ﻿39.615892°N 104.043007°W
Del Norte,Town of Del Norte,"November 15, 1895",statutory town,Rio Grande County[8],map,122,"1,629","1,686",−3.38%,1643 mi−2 634 km−2,1.0075 mi−2 2.6093 km−2,none,1.0075 mi−2 2.6093 km−2,0819795,37°40′42″N 106°21′14″W﻿ / ﻿37.678447°N 106.353931°W
Delta,City of Delta,"October 24, 1882",home rule municipality,Delta County[8],map,51,"8,720","8,915",−2.19%,664 mi−2 256 km−2,13.3451 mi−2 34.5635 km−2,0.2813 mi−2 0.7286 km−2,13.6264 mi−2 35.2922 km−2,0819850,38°45′27″N 108°05′17″W﻿ / ﻿38.757372°N 108.087959°W
Denver,City and County of Denver,"December 3, 1859[22][23]",consolidated city and county,City and County of Denver[24][25],map,1,"663,862","600,158",+10.61%,4244 mi−2 1639 km−2,153.0374 mi−2 396.3650 km−2,1.6249 mi−2 4.2086 km−2,154.6623 mi−2 400.5735 km−2,0820000,39°45′43″N 104°52′52″W﻿ / ﻿39.761850°N 104.881105°W
Dillon,Town of Dillon,"January 26, 1883",home rule municipality,Summit County,map,149,937,904,+3.65%,586 mi−2 226 km−2,1.5694 mi−2 4.0648 km−2,0.8587 mi−2 2.2241 km−2,2.4281 mi−2 6.2889 km−2,0820440,39°37′33″N 106°02′37″W﻿ / ﻿39.625881°N 106.043728°W
Dinosaur,Town of Dinosaur,"December 18, 1947[26]",statutory town,Moffat County,map,216,312,339,−7.96%,407 mi−2 157 km−2,0.7847 mi−2 2.0324 km−2,none,0.7847 mi−2 2.0324 km−2,0820495,40°14′26″N 109°00′31″W﻿ / ﻿40.240551°N 109.008590°W
Dolores,Town of Dolores,"July 19, 1900",statutory town,Montezuma County,map,148,948,936,+1.28%,1296 mi−2 500 km−2,0.7279 mi−2 1.8852 km−2,none,0.7279 mi−2 1.8852 km−2,0820770,37°28′26″N 108°29′59″W﻿ / ﻿37.473990°N 108.499824°W
Dove Creek,Town of Dove Creek,"June 15, 1939",statutory town,Dolores County[8],map,174,703,735,−4.35%,1342 mi−2 518 km−2,0.5373 mi−2 1.3916 km−2,none,0.5373 mi−2 1.3916 km−2,0821265,37°46′00″N 108°54′23″W﻿ / ﻿37.766665°N 108.906297°W
Durango,City of Durango,"April 27, 1881",home rule municipality,La Plata County[8],map,33,"17,834","16,887",+5.61%,1586 mi−2 612 km−2,11.0712 mi−2 28.6743 km−2,0.0330 mi−2 0.0854 km−2,11.1042 mi−2 28.7597 km−2,0822035,37°16′24″N 107°52′18″W﻿ / ﻿37.273267°N 107.871692°W
Eads,Town of Eads,"January 29, 1916",statutory town,Kiowa County[8],map,185,599,609,−1.64%,1296 mi−2 501 km−2,0.4698 mi−2 1.2167 km−2,none,0.4698 mi−2 1.2167 km−2,0822145,38°28′53″N 102°46′47″W﻿ / ﻿38.481346°N 102.779776°W
Eagle,Town of Eagle,"April 5, 1905",statutory town,Eagle County[8],map,62,"6,572","6,508",+0.98%,1420 mi−2 548 km−2,4.5927 mi−2 11.8949 km−2,0.0201 mi−2 0.0520 km−2,4.6127 mi−2 11.9469 km−2,0822200,39°38′04″N 106°48′59″W﻿ / ﻿39.634496°N 106.816402°W
Eaton,Town of Eaton,"December 5, 1892",statutory town,Weld County,map,78,"4,815","4,365",+10.31%,1967 mi−2 760 km−2,2.3620 mi−2 6.1177 km−2,none,2.3620 mi−2 6.1177 km−2,0822860,40°31′31″N 104°42′48″W﻿ / ﻿40.525181°N 104.713308°W
Eckley,Town of Eckley,"June 16, 1920",statutory town,Yuma County,map,227,255,257,−0.78%,539 mi−2 208 km−2,0.4767 mi−2 1.2346 km−2,none,0.4767 mi−2 1.2346 km−2,0823025,40°06′45″N 102°29′19″W﻿ / ﻿40.112467°N 102.488545°W
Edgewater,City of Edgewater,"November 5, 1904",home rule municipality,Jefferson County,map,76,"5,289","5,170",+2.30%,7531 mi−2 2908 km−2,0.6978 mi−2 1.8072 km−2,none,0.6978 mi−2 1.8072 km−2,0823135,39°45′03″N 105°03′45″W﻿ / ﻿39.750820°N 105.062615°W
Elizabeth,Town of Elizabeth,"October 9, 1890",statutory town,Elbert County,map,130,"1,395","1,358",+2.72%,1099 mi−2 424 km−2,1.2489 mi−2 3.2348 km−2,none,1.2489 mi−2 3.2348 km−2,0823740,39°21′40″N 104°36′22″W﻿ / ﻿39.361015°N 104.606172°W
Empire,Town of Empire,"April 12, 1882",statutory town,Clear Creek County,map,218,283,282,+0.35%,1128 mi−2 436 km−2,0.2446 mi−2 0.6335 km−2,0.0022 mi−2 0.0058 km−2,0.2468 mi−2 0.6393 km−2,0824620,39°45′35″N 105°40′58″W﻿ / ﻿39.759710°N 105.682813°W
Englewood,City of Englewood,"May 9, 1903",home rule municipality,Arapahoe County,map,23,"32,480","30,255",+7.35%,4810 mi−2 1857 km−2,6.5515 mi−2 16.9684 km−2,0.0878 mi−2 0.2274 km−2,6.6393 mi−2 17.1958 km−2,0824785,39°38′47″N 104°59′38″W﻿ / ﻿39.646505°N 104.994001°W
Erie,Town of Erie,"November 15, 1885",statutory town,Boulder CountyWeld County,map,28,"20,493","18,135",+13.00%,1142 mi−2 441 km−2,17.2659 mi−2 44.7185 km−2,0.1263 mi−2 0.3271 km−2,17.3922 mi−2 45.0457 km−2,0824950,40°02′25″N 105°02′22″W﻿ / ﻿40.040351°N 105.039365°W
Estes Park,Town of Estes Park,"April 17, 1917",statutory town,Larimer County,map,66,"6,165","5,858",+5.24%,908 mi−2 351 km−2,6.6998 mi−2 17.3525 km−2,0.0864 mi−2 0.2238 km−2,6.7863 mi−2 17.5764 km−2,0825115,40°22′38″N 105°31′32″W﻿ / ﻿40.377117°N 105.525514°W
Evans,City of Evans,"November 15, 1885",home rule municipality,Weld County,map,29,"20,473","18,537",+10.44%,1964 mi−2 758 km−2,10.1524 mi−2 26.2946 km−2,0.3438 mi−2 0.8906 km−2,10.4962 mi−2 27.1851 km−2,0825280,40°21′01″N 104°44′54″W﻿ / ﻿40.350168°N 104.748388°W
Fairplay,Town of Fairplay,"November 15, 1872",statutory town,Park County[8],map,175,679,679,0.00%,587 mi−2 227 km−2,1.1445 mi−2 2.9642 km−2,0.0095 mi−2 0.0247 km−2,1.1540 mi−2 2.9889 km−2,0825610,39°13′26″N 105°59′38″W﻿ / ﻿39.223780°N 105.994005°W
Federal Heights,City of Federal Heights,"May 19, 1940",home rule municipality,Adams County,map,42,"12,178","11,467",+6.20%,6742 mi−2 2603 km−2,1.7759 mi−2 4.5995 km−2,0.0021 mi−2 0.0055 km−2,1.7780 mi−2 4.6049 km−2,0826270,39°51′53″N 105°00′59″W﻿ / ﻿39.864590°N 105.016341°W
Firestone,Town of Firestone,"October 8, 1908",statutory town,Weld County,map,43,"11,537","10,147",+13.70%,979 mi−2 378 km−2,11.4095 mi−2 29.5504 km−2,0.1784 mi−2 0.4622 km−2,11.5879 mi−2 30.0126 km−2,0826600,40°08′57″N 104°57′43″W﻿ / ﻿40.149261°N 104.961932°W
Flagler,Town of Flagler,"November 2, 1916",statutory town,Kit Carson County,map,189,561,561,0.00%,444 mi−2 171 km−2,1.2768 mi−2 3.3070 km−2,none,1.2768 mi−2 3.3070 km−2,0826765,39°17′44″N 103°04′36″W﻿ / ﻿39.295491°N 103.076707°W
Fleming,Town of Fleming,"May 5, 1917",statutory town,Logan County,map,207,399,408,−2.21%,768 mi−2 297 km−2,0.5205 mi−2 1.3482 km−2,none,0.5205 mi−2 1.3482 km−2,0826875,40°40′54″N 102°50′22″W﻿ / ﻿40.681771°N 102.839443°W
Florence,City of Florence,"September 13, 1887",statutory city,Fremont County,map,88,"3,852","3,881",−0.75%,923 mi−2 356 km−2,4.1695 mi−2 10.7990 km−2,0.0037 mi−2 0.0097 km−2,4.1732 mi−2 10.8087 km−2,0827040,38°22′47″N 105°05′53″W﻿ / ﻿38.379826°N 105.098107°W
Fort Collins,City of Fort Collins,"February 12, 1883",home rule municipality,Larimer County[8],map,4,"156,480","143,986",+8.68%,2784 mi−2 1075 km−2,54.6183 mi−2 141.4607 km−2,1.2242 mi−2 3.1707 km−2,55.8425 mi−2 144.6314 km−2,0827425,40°32′54″N 105°03′53″W﻿ / ﻿40.548216°N 105.064833°W
